"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"G06C_S270_L001_R1_001"	24206	24191	24191	24191	23988	23901	"deVries"
"G06D_S366_L001_R1_001"	30218	30201	30201	30201	29943	29941	"deVries"
"G07A_S79_L001_R1_001"	3837	3833	3833	3833	3820	3817	"deVries"
"G07B_S175_L001_R1_001"	26273	26262	26262	26262	26064	26062	"deVries"
"G08A_S80_L001_R1_001"	21119	21106	21106	21106	20942	20936	"deVries"
"G08B_S176_L001_R1_001"	10532	10524	10524	10524	10499	10499	"deVries"
"G08C_S272_L001_R1_001"	16592	16585	16585	16585	16540	16534	"deVries"
"G09C_S273_L001_R1_001"	15627	15616	15616	15616	15530	15525	"deVries"
"G10C_S274_L001_R1_001"	12877	12875	12875	12875	12853	12850	"deVries"
"G11C_S275_L001_R1_001"	17046	17033	17033	17033	16965	16962	"deVries"
"H01A_S85_L001_R1_001"	21851	21836	21836	21836	21756	21754	"deVries"
"H01B_S181_L001_R1_001"	23525	23519	23519	23519	23259	23255	"deVries"
"H01D_S373_L001_R1_001"	23103	23084	23084	23084	22889	22887	"deVries"
"H02A_S86_L001_R1_001"	3522	3521	3521	3521	3501	3501	"deVries"
"H02C_S278_L001_R1_001"	9102	9099	9099	9099	9090	9090	"deVries"
"H02D_S374_L001_R1_001"	13215	13204	13204	13204	13159	13159	"deVries"
"H03A_S87_L001_R1_001"	8869	8863	8863	8863	8831	8829	"deVries"
"H03B_S183_L001_R1_001"	8278	8274	8274	8274	8247	8247	"deVries"
"H03C_S279_L001_R1_001"	10834	10827	10827	10827	10808	10808	"deVries"
"H03D_S375_L001_R1_001"	19499	19487	19487	19487	19302	19302	"deVries"
"H04C_S280_L001_R1_001"	17293	17285	17285	17285	17262	17262	"deVries"
"H04D_S376_L001_R1_001"	15367	15357	15357	15357	15291	15289	"deVries"
"H05A_S89_L001_R1_001"	26449	26426	26426	26426	26245	26245	"deVries"
"H05B_S185_L001_R1_001"	10630	10623	10623	10623	10597	10594	"deVries"
"H05C_S281_L001_R1_001"	21793	21778	21778	21778	21643	21643	"deVries"
"H05D_S377_L001_R1_001"	18997	18982	18982	18982	18918	18916	"deVries"
"H06A_S90_L001_R1_001"	16950	16942	16942	16942	16834	16817	"deVries"
"H06B_S186_L001_R1_001"	19495	19487	19487	19487	19386	19384	"deVries"
"H06C_S282_L001_R1_001"	19424	19416	19416	19416	19328	19328	"deVries"
"H06D_S378_L001_R1_001"	26442	26423	26423	26423	26136	26136	"deVries"
"H07A_S91_L001_R1_001"	18931	18919	18919	18919	18729	18724	"deVries"
"H07B_S187_L001_R1_001"	21035	21017	21017	21017	20949	20949	"deVries"
"H08A_S92_L001_R1_001"	15149	15140	15140	15140	15002	15002	"deVries"
"H08B_S188_L001_R1_001"	13544	13538	13538	13538	13507	13507	"deVries"
"H08C_S284_L001_R1_001"	13889	13876	13876	13876	13852	13848	"deVries"
"H09C_S285_L001_R1_001"	14716	14711	14711	14711	14690	14690	"deVries"
"H10C_S286_L001_R1_001"	13584	13576	13576	13576	13482	13482	"deVries"
"H11C_S287_L001_R1_001"	17564	17551	17551	17551	17464	17462	"deVries"
