"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR2044591_1"	35068	35067	35067	35067	35005	35005	"Seekatz"
"SRR2044592_1"	67652	67647	67647	67647	67244	67244	"Seekatz"
"SRR2044593_1"	51959	51948	51948	51948	51454	50471	"Seekatz"
"SRR2044594_1"	49651	49650	49650	49650	49650	49648	"Seekatz"
"SRR2044595_1"	31777	31776	31776	31776	31679	31679	"Seekatz"
"SRR2044596_1"	37542	37541	37541	37541	37541	37541	"Seekatz"
"SRR2044597_1"	37827	37825	37825	37825	37770	37764	"Seekatz"
"SRR2044598_1"	39253	39251	39251	39251	39074	39074	"Seekatz"
"SRR2044599_1"	43815	43815	43815	43815	43543	43543	"Seekatz"
"SRR2044600_1"	17572	17569	17569	17569	17569	17569	"Seekatz"
"SRR2044601_1"	25806	25806	25806	25806	25780	25780	"Seekatz"
"SRR2044602_1"	23054	23051	23051	23051	23019	23019	"Seekatz"
"SRR2044603_1"	12170	12170	12170	12170	12157	12157	"Seekatz"
"SRR2044604_1"	19688	19687	19687	19687	19677	19677	"Seekatz"
"SRR2044605_1"	14218	14218	14218	14218	14206	14206	"Seekatz"
"SRR2044606_1"	25237	25233	25233	25233	25233	25233	"Seekatz"
"SRR2044607_1"	10898	10896	10896	10896	10888	10888	"Seekatz"
