"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"Ines-Groeningen-F15-1_S160_L001_R1_001"	58524	58434	58434	58434	55489	54937	"Jurburg_microcosm"
"Ines-Groeningen-F15-2_S168_L001_R1_001"	48349	48280	48280	48280	43782	43718	"Jurburg_microcosm"
"Ines-Groeningen-F15-3_S176_L001_R1_001"	36163	36069	36069	36069	35649	34970	"Jurburg_microcosm"
"Ines-Groeningen-F15-4_S184_L001_R1_001"	115002	114865	114865	114865	106695	106232	"Jurburg_microcosm"
"Ines-Groeningen-F15-5_S192_L001_R1_001"	13177	12822	12822	12822	12822	12807	"Jurburg_microcosm"
"Ines-Groeningen-F3-1_S100_L001_R1_001"	65357	65254	65254	65254	62600	61537	"Jurburg_microcosm"
"Ines-Groeningen-F3-2_S108_L001_R1_001"	3144	2839	2839	2839	2839	2798	"Jurburg_microcosm"
"Ines-Groeningen-F3-3_S116_L001_R1_001"	60786	60702	60702	60702	58161	57076	"Jurburg_microcosm"
"Ines-Groeningen-F3-4_S124_L001_R1_001"	60874	60741	60741	60741	58770	58094	"Jurburg_microcosm"
"Ines-Groeningen-F3-5_S132_L001_R1_001"	59850	59695	59695	59695	58321	57493	"Jurburg_microcosm"
"Ines-Groeningen-F4-1_S140_L001_R1_001"	68610	68524	68524	68524	66590	65773	"Jurburg_microcosm"
"Ines-Groeningen-F4-2_S148_L001_R1_001"	4085	3693	3693	3693	3693	3666	"Jurburg_microcosm"
"Ines-Groeningen-F4-3_S156_L001_R1_001"	45645	45577	45577	45577	44176	43765	"Jurburg_microcosm"
"Ines-Groeningen-F4-4_S164_L001_R1_001"	37758	37693	37693	37693	36602	36291	"Jurburg_microcosm"
"Ines-Groeningen-F4-5_S172_L001_R1_001"	35167	35080	35080	35080	34353	33753	"Jurburg_microcosm"
"Ines-Groeningen-F5-1_S180_L001_R1_001"	51092	51021	51021	51021	48074	47650	"Jurburg_microcosm"
"Ines-Groeningen-F5-2_S188_L001_R1_001"	1413	1280	1280	1280	1280	1275	"Jurburg_microcosm"
"Ines-Groeningen-F5-3_S101_L001_R1_001"	158699	158444	158444	158444	147002	145742	"Jurburg_microcosm"
"Ines-Groeningen-F5-4_S109_L001_R1_001"	6778	6455	6455	6455	6455	6409	"Jurburg_microcosm"
"Ines-Groeningen-F5-5_S117_L001_R1_001"	85108	84984	84984	84984	80269	79917	"Jurburg_microcosm"
"Ines-Groeningen-F6-1_S125_L001_R1_001"	56042	55929	55929	55929	53537	53355	"Jurburg_microcosm"
"Ines-Groeningen-F6-2_S133_L001_R1_001"	47591	47470	47470	47470	45774	45575	"Jurburg_microcosm"
"Ines-Groeningen-F6-3_S141_L001_R1_001"	78710	78577	78577	78577	74765	74023	"Jurburg_microcosm"
"Ines-Groeningen-F6-4_S149_L001_R1_001"	4067	3849	3849	3849	3849	3819	"Jurburg_microcosm"
"Ines-Groeningen-F6-5_S157_L001_R1_001"	43032	42938	42938	42938	41710	41629	"Jurburg_microcosm"
"Ines-Groeningen-F7-1_S165_L001_R1_001"	54343	54246	54246	54246	51459	51355	"Jurburg_microcosm"
"Ines-Groeningen-F7-2_S173_L001_R1_001"	47838	47713	47713	47713	42835	42502	"Jurburg_microcosm"
"Ines-Groeningen-F7-3_S181_L001_R1_001"	55891	55802	55802	55802	53028	52831	"Jurburg_microcosm"
"Ines-Groeningen-F7-4_S189_L001_R1_001"	11739	11258	11258	11258	11258	11157	"Jurburg_microcosm"
"Ines-Groeningen-F7-5_S102_L001_R1_001"	120484	120282	120282	120282	111835	111546	"Jurburg_microcosm"
"Ines-Groeningen-F8-1_S110_L001_R1_001"	7851	7302	7302	7302	7302	7168	"Jurburg_microcosm"
"Ines-Groeningen-F8-2_S118_L001_R1_001"	69115	69014	69014	69014	65767	65511	"Jurburg_microcosm"
"Ines-Groeningen-F8-3_S126_L001_R1_001"	48298	48171	48171	48171	46456	46225	"Jurburg_microcosm"
"Ines-Groeningen-F8-4_S134_L001_R1_001"	41569	41467	41467	41467	39510	39353	"Jurburg_microcosm"
"Ines-Groeningen-F8-5_S142_L001_R1_001"	49928	49853	49853	49853	47164	47035	"Jurburg_microcosm"
"Ines-Groeningen-F9-1_S150_L001_R1_001"	4908	4676	4676	4676	4676	4641	"Jurburg_microcosm"
"Ines-Groeningen-F9-2_S158_L001_R1_001"	32959	32872	32872	32872	32095	32002	"Jurburg_microcosm"
"Ines-Groeningen-F9-3_S166_L001_R1_001"	51274	51172	51172	51172	48309	48255	"Jurburg_microcosm"
"Ines-Groeningen-F9-4_S174_L001_R1_001"	25476	25406	25406	25406	25092	24655	"Jurburg_microcosm"
"Ines-Groeningen-F9-5_S182_L001_R1_001"	39026	38969	38969	38969	36765	36362	"Jurburg_microcosm"
"Ines-Groeningen-H2O_S86_L001_R1_001"	44719	44671	44671	44671	37943	37879	"Jurburg_microcosm"
"Ines-Groeningen-Mock_S94_L001_R1_001"	12420	11963	11963	11963	11893	11879	"Jurburg_microcosm"
"Undetermined_S0_L001_R1_001"	2246242	1423692	1423692	1423692	1317589	1274567	"Jurburg_microcosm"
